date,High,Low,Open,Volume,Pct,50ma,100ma,200ma,adj_close
1998-03-04,4.559904111730694e-05,0.00017067038270633965,4.7034721708342445e-05,0.061247397063035586,0.4578433713621594,0.0,0.0,0.0,7.838300976067405e-05
1998-03-05,0.00021670401445272446,0.00022565439775348514,3.614705464622574e-05,0.10660236412475518,0.45394013495943875,1.961827252540795e-05,1.5037132323141456e-05,1.625129984597932e-05,0.00014631495155325918
1998-03-06,0.0001650251011864434,0.00033562242784777613,0.0002051236474502711,0.04744118717148807,0.4574708473717883,3.8647996875053586e-05,3.000910373954918e-05,3.328385484051809e-05,0.00022252065548724817
1998-03-09,0.0005450171104973336,0.00046758406396092515,0.0002595619827608529,0.2135685588437928,0.5665480814781246,6.480569357559694e-05,4.7803043655266376e-05,5.307465797405346e-05,0.0005164569420897779
1998-03-10,0.0006535862560147305,0.0007372256737521268,0.0006349687430626237,0.2299641588159249,0.4101966959419829,9.083260179263818e-05,6.552681028680965e-05,7.286247921770884e-05,0.0004994739566416321
1998-03-11,0.0004038772213247172,0.0005335648820175001,0.000482541404192995,0.10996973239098629,0.3473959307515179,0.00011454268544477432,8.181703697021257e-05,9.12398665481257e-05,0.00034793347110432735
1998-03-12,0.00034438132958118303,0.0004842992045352573,0.00034100173238548305,0.0852950511298101,0.3941258213171889,0.00013462805969697775,9.936035801387782e-05,0.00010898211133410348,0.00029872635942123716
1998-03-13,0.0003335244150294435,0.0005115712759986416,0.0003793263204441319,0.05359534296839319,0.4221672370942399,0.00015377923049558978,0.00011699891422892314,0.00012696588920036106,0.0003070001215626419
1998-03-16,0.00032787881946253926,0.0005665552910457871,0.00037627777366674,0.022522662001377907,0.42473170911920866,0.0001712955452504183,0.00013359990831367154,0.00014513752612905833,0.0003204994176880917
1998-03-17,0.0003061649903590598,0.0005172896135635448,0.00038455240063394814,0.020479017812216966,0.43688573255943597,0.00019033461163460007,0.00014700801796847318,0.00016358946070647515,0.00035882000023775484
1998-03-18,0.0005450171104973336,0.0005775520940552161,0.00036277706650971516,0.12264961565555306,0.5328347391972832,0.00021678191140575738,0.00016257646230036617,0.00018362179692028987,0.0005952754130157901
1998-03-19,0.0006210155123595111,0.0007754945482249401,0.0006297426628728074,0.10770546752231365,0.39215894043819044,0.0002410151489919037,0.0001776135946235072,0.00020337681737526503,0.0005382300003566325
